department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Administration,Casual Leave,1,7,3,9,33,156,98.3,Approved
Administration,Casual Leave,1,7,3,7,36,132,95.6,Rejected
Administration,Casual Leave,1,8,4,10,33,156,96.2,Approved
Administration,Casual Leave,1,8,4,2,29,72,86.6,Approved
Health & Safety,Sick Leave,1,8,0,11,33,156,82.2,Rejected
Operations,Annual Leave,1,8,1,0,58,192,99.1,Approved
Health & Safety,Sick Leave,1,8,3,0,43,156,82.8,Approved
Health & Safety,Sick Leave,1,8,3,1,43,156,83.6,Rejected
Health & Safety,Sick Leave,1,8,4,7,36,132,88.7,Approved
Health & Safety,Sick Leave,1,8,1,11,33,156,100.0,Approved
Health & Safety,Sick Leave,1,8,2,3,47,168,79.2,Rejected
Health & Safety,Sick Leave,1,8,3,0,33,96,87.4,Approved
Health & Safety,Sick Leave,1,8,3,5,30,108,75.9,Approved
Health & Safety,Sick Leave,1,8,3,2,50,216,87.6,Approved
Health & Safety,Sick Leave,1,8,0,3,47,168,89.8,Rejected
Health & Safety,Sick Leave,1,8,1,2,37,168,89.1,Approved
Health & Safety,Sick Leave,1,8,3,3,50,216,86.0,Approved
Administration,Casual Leave,1,8,3,3,37,168,84.3,Approved
Health & Safety,Sick Leave,1,8,1,3,28,36,76.6,Approved
Health & Safety,Sick Leave,1,8,2,3,27,84,85.0,Approved
Health & Safety,Sick Leave,1,9,0,6,38,216,89.5,Approved
Health & Safety,Sick Leave,1,9,4,7,38,216,92.9,Approved
Administration,Casual Leave,3,9,2,12,33,156,83.0,Rejected
Administration,Casual Leave,1,9,3,1,43,156,97.7,Rejected
Health & Safety,Sick Leave,2,9,0,5,41,192,88.9,Approved
Health & Safety,Sick Leave,1,9,1,5,40,144,85.5,Approved
Administration,Casual Leave,1,9,1,0,39,168,98.6,Rejected
Administration,Casual Leave,1,9,1,1,32,144,85.1,Rejected
Health & Safety,Sick Leave,1,9,2,8,38,216,85.7,Rejected
Health & Safety,Sick Leave,4,9,2,6,41,192,88.7,Approved
Health & Safety,Sick Leave,1,9,3,8,38,216,91.7,Approved
Health & Safety,Sick Leave,1,9,4,6,40,144,81.5,Approved
Health & Safety,Sick Leave,1,9,4,8,36,132,82.7,Approved
Administration,Casual Leave,1,9,2,1,43,156,84.4,Rejected
Health & Safety,Sick Leave,1,9,3,4,50,216,79.6,Approved
Administration,Casual Leave,1,9,3,1,43,156,88.9,Rejected
Health & Safety,Sick Leave,1,9,4,7,40,144,81.1,Rejected
Health & Safety,Sick Leave,5,9,0,7,40,144,87.7,Rejected
Health & Safety,Sick Leave,1,9,0,9,38,216,95.0,Approved
Operations,Annual Leave,1,10,0,12,33,156,92.0,Rejected
Administration,Casual Leave,1,10,0,4,37,168,77.7,Approved
Administration,Casual Leave,1,10,0,12,33,156,90.1,Approved
Health & Safety,Sick Leave,1,10,4,13,33,156,91.3,Approved
Administration,Casual Leave,1,10,4,5,50,216,89.3,Rejected
Administration,Casual Leave,1,10,4,3,47,168,83.3,Rejected
Health & Safety,Sick Leave,1,10,0,6,30,108,95.4,Approved
Health & Safety,Sick Leave,1,10,0,8,37,120,89.6,Approved
Health & Safety,Sick Leave,1,10,0,0,31,144,84.9,Approved
Health & Safety,Sick Leave,1,10,2,10,38,216,86.5,Approved
Health & Safety,Sick Leave,8,10,2,7,30,108,85.7,Rejected
Administration,Casual Leave,1,10,2,1,43,156,89.0,Rejected
Administration,Casual Leave,2,10,3,14,33,156,95.3,Approved
Health & Safety,Sick Leave,1,10,4,9,36,132,80.5,Approved
Administration,Casual Leave,1,10,4,1,43,156,77.8,Rejected
Health & Safety,Sick Leave,1,10,0,1,43,156,86.1,Approved
Health & Safety,Sick Leave,1,10,1,5,50,216,86.1,Approved
Health & Safety,Sick Leave,1,10,1,7,40,144,84.7,Approved
Health & Safety,Sick Leave,2,10,3,7,30,108,83.2,Approved
Health & Safety,Sick Leave,1,10,3,6,50,216,85.9,Approved
Health & Safety,Sick Leave,1,10,0,4,28,36,82.8,Approved
Administration,Casual Leave,1,10,1,10,36,132,90.0,Rejected
Administration,Casual Leave,1,10,1,8,40,144,79.8,Rejected
Administration,Casual Leave,1,10,1,3,29,72,90.5,Rejected
Health & Safety,Sick Leave,1,10,2,8,30,108,84.9,Approved
Health & Safety,Sick Leave,1,10,2,9,30,108,90.9,Rejected
Health & Safety,Sick Leave,1,10,3,7,50,216,80.0,Rejected
Health & Safety,Sick Leave,1,11,0,9,37,120,92.2,Approved
Health & Safety,Sick Leave,1,11,0,3,47,168,87.0,Approved
Health & Safety,Sick Leave,1,11,1,11,38,216,87.5,Approved
Health & Safety,Sick Leave,1,11,4,10,36,132,90.7,Approved
Health & Safety,Sick Leave,1,11,0,8,40,144,96.7,Rejected
Health & Safety,Sick Leave,1,11,0,1,36,132,89.7,Approved
Health & Safety,Sick Leave,10,11,0,9,34,168,89.5,Rejected
Administration,Casual Leave,1,11,0,2,43,156,84.5,Approved
Administration,Casual Leave,1,11,1,5,28,48,97.9,Rejected
Operations,Annual Leave,1,11,2,5,37,168,92.5,Approved
Health & Safety,Sick Leave,1,11,2,10,37,120,100.0,Approved
Health & Safety,Sick Leave,1,11,3,6,37,168,76.8,Approved
Health & Safety,Sick Leave,1,11,3,12,38,216,88.0,Approved
Health & Safety,Sick Leave,1,11,4,7,41,192,97.8,Approved
Health & Safety,Sick Leave,1,11,4,8,40,144,88.2,Approved
Health & Safety,Sick Leave,1,11,0,8,41,192,92.5,Approved
Health & Safety,Sick Leave,1,11,1,13,38,216,87.2,Approved
Health & Safety,Sick Leave,1,11,2,11,36,132,90.8,Approved
Operations,Annual Leave,1,11,4,12,36,132,87.2,Approved
Administration,Casual Leave,1,11,4,2,36,132,92.6,Rejected
Administration,Casual Leave,1,11,1,2,39,168,97.5,Rejected
Health & Safety,Sick Leave,1,11,3,14,38,216,92.5,Approved
Health & Safety,Sick Leave,1,12,0,18,28,108,100.0,Approved
Health & Safety,Sick Leave,1,12,0,15,38,216,85.7,Rejected
Health & Safety,Sick Leave,1,12,0,15,38,216,84.6,Approved
Health & Safety,Sick Leave,1,12,0,7,37,168,91.7,Rejected
Health & Safety,Sick Leave,1,12,1,7,50,216,81.4,Approved
Health & Safety,Sick Leave,1,12,4,13,36,132,93.0,Approved
Health & Safety,Sick Leave,1,12,3,9,41,192,83.0,Rejected
Health & Safety,Sick Leave,1,12,3,16,38,216,93.5,Approved
Health & Safety,Sick Leave,1,12,4,17,38,216,92.3,Approved
Health & Safety,Sick Leave,1,12,1,9,30,108,90.1,Approved
Health & Safety,Sick Leave,1,12,1,11,37,120,85.7,Rejected
Health & Safety,Sick Leave,1,12,3,7,37,168,94.5,Approved
Health & Safety,Sick Leave,1,12,1,3,43,156,99.0,Approved
Health & Safety,Sick Leave,1,12,1,8,37,168,84.6,Approved
Administration,Casual Leave,1,12,2,14,36,132,87.4,Approved
Health & Safety,Sick Leave,1,12,0,3,29,72,90.4,Approved
Health & Safety,Sick Leave,1,12,0,18,38,216,78.0,Approved
Administration,Casual Leave,1,12,0,15,33,156,78.8,Approved
Health & Safety,Sick Leave,1,1,2,0,28,108,99.1,Approved
Administration,Casual Leave,4,1,0,0,37,120,90.2,Approved
Health & Safety,Sick Leave,1,1,0,0,34,168,100.0,Rejected
Health & Safety,Sick Leave,1,1,1,0,37,168,79.3,Approved
Health & Safety,Sick Leave,1,1,1,0,34,168,84.9,Rejected
Administration,Casual Leave,1,1,0,0,33,156,91.2,Approved
Health & Safety,Sick Leave,1,1,2,0,40,144,80.9,Rejected
Administration,Casual Leave,1,1,0,0,43,156,93.2,Approved
Administration,Casual Leave,1,1,0,0,50,216,88.0,Approved
Health & Safety,Sick Leave,1,1,2,0,38,216,88.0,Approved
Health & Safety,Sick Leave,1,1,4,1,38,216,89.0,Rejected
Health & Safety,Sick Leave,1,2,1,1,37,120,91.7,Approved
Administration,Casual Leave,1,2,2,1,38,216,77.9,Rejected
Health & Safety,Sick Leave,1,2,2,1,28,108,96.9,Approved
Health & Safety,Sick Leave,1,2,4,1,33,156,83.6,Approved
Health & Safety,Sick Leave,1,2,4,0,36,132,85.5,Approved
Health & Safety,Sick Leave,1,2,4,1,38,216,89.1,Rejected
Administration,Casual Leave,1,2,0,1,38,216,100.0,Approved
Health & Safety,Sick Leave,1,2,3,2,38,216,93.7,Approved
Administration,Casual Leave,1,2,3,0,41,192,91.7,Approved
Administration,Casual Leave,1,2,4,3,38,216,75.4,Approved
Health & Safety,Sick Leave,1,2,0,2,33,156,84.3,Rejected
Administration,Casual Leave,1,2,0,4,38,216,90.2,Approved
Health & Safety,Sick Leave,1,2,1,1,41,192,85.2,Approved
Health & Safety,Sick Leave,1,2,1,0,40,144,92.5,Approved
Health & Safety,Sick Leave,2,2,2,0,29,72,89.0,Approved
Health & Safety,Sick Leave,3,2,4,2,41,192,97.6,Approved
Operations,Annual Leave,1,3,1,2,37,120,85.0,Approved
Administration,Casual Leave,2,3,2,3,41,192,84.0,Approved
Health & Safety,Sick Leave,1,3,4,4,41,192,83.5,Approved
Health & Safety,Sick Leave,1,3,4,1,36,132,90.4,Approved
Health & Safety,Sick Leave,1,3,0,5,38,216,88.7,Approved
Health & Safety,Sick Leave,1,3,0,1,37,168,80.8,Approved
Health & Safety,Sick Leave,1,3,1,2,40,204,84.2,Approved
Health & Safety,Sick Leave,1,3,1,0,36,132,85.8,Approved
Health & Safety,Sick Leave,2,3,0,6,38,216,86.4,Approved
Health & Safety,Sick Leave,1,3,2,0,28,36,90.5,Approved
Administration,Casual Leave,1,3,2,0,31,144,95.4,Rejected
Operations,Annual Leave,1,3,3,2,37,168,94.2,Approved
Health & Safety,Sick Leave,1,3,4,1,50,216,93.6,Approved
Health & Safety,Sick Leave,1,3,1,2,50,216,100.0,Approved
Health & Safety,Sick Leave,1,3,2,3,50,216,93.3,Approved
Administration,Casual Leave,1,3,3,3,37,168,89.2,Rejected
Administration,Casual Leave,1,3,3,5,41,192,100.0,Rejected
Administration,Casual Leave,1,3,3,4,50,216,83.4,Rejected
Health & Safety,Sick Leave,1,3,4,7,38,216,85.7,Approved
Health & Safety,Sick Leave,1,3,4,2,33,156,94.5,Approved
Administration,Casual Leave,1,3,0,2,36,132,96.6,Approved
Health & Safety,Sick Leave,1,3,1,5,41,192,98.5,Approved
Health & Safety,Sick Leave,1,4,2,8,38,216,85.2,Approved
Health & Safety,Sick Leave,1,4,4,3,36,132,85.3,Approved
Administration,Casual Leave,1,4,4,0,28,48,92.1,Approved
Health & Safety,Sick Leave,1,4,0,0,31,144,86.7,Approved
Administration,Casual Leave,1,4,0,0,47,168,84.9,Approved
Health & Safety,Sick Leave,1,4,2,1,28,48,95.0,Rejected
Health & Safety,Sick Leave,1,4,2,9,38,216,88.4,Approved
Health & Safety,Sick Leave,1,4,0,4,50,216,89.3,Rejected
Health & Safety,Sick Leave,10,4,2,4,50,216,88.4,Rejected
Health & Safety,Sick Leave,1,4,4,0,43,156,85.8,Approved
Health & Safety,Sick Leave,1,4,4,4,36,132,87.4,Approved
Health & Safety,Sick Leave,1,4,0,10,38,216,79.7,Approved
Health & Safety,Sick Leave,1,4,2,3,37,120,83.4,Rejected
Health & Safety,Sick Leave,2,5,0,1,43,156,87.9,Approved
Health & Safety,Sick Leave,1,5,2,1,47,168,97.0,Approved
Health & Safety,Sick Leave,1,5,0,1,31,144,89.0,Approved
Health & Safety,Sick Leave,1,5,2,0,30,108,95.4,Rejected
Health & Safety,Sick Leave,1,5,2,11,38,216,89.1,Rejected
Health & Safety,Sick Leave,1,5,3,1,28,36,88.7,Rejected
Health & Safety,Sick Leave,1,5,4,5,36,132,85.6,Approved
Health & Safety,Sick Leave,1,5,0,3,40,204,84.1,Rejected
Health & Safety,Sick Leave,1,5,0,3,40,204,89.1,Approved
Operations,Annual Leave,1,5,2,0,58,192,86.3,Approved
Health & Safety,Sick Leave,1,5,2,2,28,108,84.9,Approved
Health & Safety,Sick Leave,1,5,4,1,28,48,88.7,Approved
Health & Safety,Sick Leave,1,5,0,0,30,108,91.6,Approved
Health & Safety,Sick Leave,1,5,0,3,37,120,87.1,Rejected
Health & Safety,Sick Leave,1,5,0,3,37,168,80.4,Approved
Health & Safety,Sick Leave,1,6,0,3,37,120,81.2,Approved
Health & Safety,Sick Leave,1,6,0,11,38,216,89.4,Approved
Health & Safety,Sick Leave,1,6,1,4,37,120,89.0,Approved
Health & Safety,Sick Leave,1,6,3,3,28,108,85.5,Rejected
Health & Safety,Sick Leave,1,6,4,6,36,132,88.6,Approved
Administration,Casual Leave,1,6,4,12,38,216,96.9,Rejected
Health & Safety,Sick Leave,5,6,0,1,40,144,91.0,Rejected
Health & Safety,Sick Leave,3,6,0,12,38,216,93.3,Approved
Health & Safety,Sick Leave,1,6,1,6,41,192,79.7,Rejected
Health & Safety,Sick Leave,1,6,0,13,38,216,86.5,Approved
Administration,Casual Leave,1,6,1,2,43,156,81.5,Approved
Health & Safety,Sick Leave,1,6,0,14,38,216,94.4,Rejected
Health & Safety,Sick Leave,1,6,2,3,28,108,92.5,Approved
Health & Safety,Sick Leave,1,6,2,4,50,216,77.7,Rejected
Health & Safety,Sick Leave,1,6,2,14,38,216,90.1,Approved
Operations,Annual Leave,1,6,2,1,30,108,92.0,Approved
Health & Safety,Sick Leave,1,6,4,6,41,192,91.2,Approved
Health & Safety,Sick Leave,1,6,1,2,28,48,85.4,Approved
Health & Safety,Sick Leave,1,6,1,4,37,168,91.0,Approved
Health & Safety,Sick Leave,1,7,3,2,30,108,81.5,Approved
Health & Safety,Sick Leave,1,7,3,4,28,108,82.2,Rejected
Health & Safety,Sick Leave,1,7,4,7,36,132,97.0,Rejected
Health & Safety,Sick Leave,1,7,0,0,33,96,83.4,Approved
Health & Safety,Sick Leave,1,7,4,3,28,48,91.8,Approved
Administration,Casual Leave,1,7,4,5,37,120,94.5,Approved
Administration,Casual Leave,1,7,0,7,36,132,91.6,Approved
Health & Safety,Sick Leave,1,7,1,6,37,120,82.8,Approved
Operations,Annual Leave,1,7,0,1,43,156,82.4,Rejected
Health & Safety,Sick Leave,1,7,0,0,48,144,89.7,Approved
Health & Safety,Sick Leave,1,7,1,7,41,192,92.8,Approved
Health & Safety,Sick Leave,10,7,1,4,28,108,83.5,Approved
Health & Safety,Sick Leave,1,7,1,15,38,216,80.9,Rejected
Health & Safety,Sick Leave,1,7,4,4,50,216,90.6,Approved
Health & Safety,Sick Leave,1,7,4,1,28,36,78.3,Approved
Health & Safety,Sick Leave,1,7,0,3,33,156,86.3,Approved
Administration,Casual Leave,1,7,0,3,43,156,86.6,Approved
Health & Safety,Sick Leave,1,7,3,1,40,144,89.0,Approved
Health & Safety,Sick Leave,1,7,3,0,39,168,97.0,Approved
Health & Safety,Sick Leave,1,8,3,15,38,216,86.5,Rejected
Health & Safety,Sick Leave,1,8,0,4,40,204,80.7,Approved
Health & Safety,Sick Leave,1,8,1,8,41,192,100.0,Approved
Health & Safety,Sick Leave,1,8,1,7,37,120,84.7,Rejected
Administration,Casual Leave,1,8,1,4,33,156,91.1,Approved
Administration,Casual Leave,1,8,1,4,43,156,81.6,Rejected
Health & Safety,Sick Leave,1,8,3,2,40,144,65.5,Approved
Health & Safety,Sick Leave,1,8,0,15,38,216,95.2,Approved
Health & Safety,Sick Leave,1,8,1,5,40,204,93.8,Approved
Health & Safety,Sick Leave,2,8,3,4,28,48,78.9,Approved
Health & Safety,Sick Leave,1,8,1,5,37,168,84.2,Approved
Health & Safety,Sick Leave,1,8,1,9,41,192,92.4,Approved
Health & Safety,Sick Leave,1,8,1,7,37,120,86.4,Rejected
Health & Safety,Sick Leave,1,8,3,3,40,144,79.8,Rejected
Health & Safety,Sick Leave,1,8,0,8,36,132,94.5,Approved
Health & Safety,Sick Leave,1,9,1,10,41,192,96.2,Approved
Health & Safety,Sick Leave,1,9,1,7,37,120,95.1,Approved
Health & Safety,Sick Leave,1,9,1,0,34,168,75.6,Approved
Health & Safety,Sick Leave,1,9,3,3,40,144,93.4,Approved
Health & Safety,Sick Leave,1,9,4,3,30,108,76.7,Approved
Health & Safety,Sick Leave,1,9,4,2,47,168,83.7,Rejected
Health & Safety,Sick Leave,1,9,0,16,38,216,90.3,Rejected
Health & Safety,Sick Leave,1,9,2,5,28,108,84.2,Approved
Health & Safety,Sick Leave,1,9,0,4,30,108,80.9,Approved
Health & Safety,Sick Leave,1,9,1,2,31,144,95.6,Approved
Health & Safety,Sick Leave,1,9,1,2,28,36,88.3,Approved
Health & Safety,Sick Leave,1,10,3,1,49,348,80.9,Rejected
Health & Safety,Sick Leave,1,10,3,0,32,96,86.9,Approved
Administration,Casual Leave,1,10,4,11,41,192,73.3,Rejected
Health & Safety,Sick Leave,1,10,2,1,49,348,87.3,Approved
Health & Safety,Sick Leave,1,10,2,4,40,144,88.8,Approved
Health & Safety,Sick Leave,1,10,1,8,37,120,92.2,Approved
Health & Safety,Sick Leave,1,10,3,2,49,348,86.8,Approved
Health & Safety,Sick Leave,1,10,4,5,40,144,81.1,Rejected
Health & Safety,Sick Leave,1,10,1,6,28,108,88.6,Approved
Health & Safety,Sick Leave,1,10,1,3,31,144,87.8,Approved
Health & Safety,Sick Leave,1,10,1,4,31,144,79.0,Approved
Health & Safety,Sick Leave,1,10,1,7,28,108,90.6,Approved
Administration,Casual Leave,1,10,1,5,31,144,88.7,Approved
Health & Safety,Sick Leave,1,10,2,16,38,216,97.5,Approved
Health & Safety,Sick Leave,1,10,2,1,58,192,90.1,Approved
Health & Safety,Sick Leave,1,10,2,5,40,144,86.9,Approved
Health & Safety,Sick Leave,1,10,3,6,31,144,96.0,Rejected
Health & Safety,Sick Leave,1,10,3,8,28,108,95.0,Approved
Health & Safety,Sick Leave,1,10,4,6,31,144,89.7,Approved
Health & Safety,Sick Leave,1,10,4,9,28,108,83.4,Approved
Health & Safety,Sick Leave,1,10,0,2,33,156,93.5,Approved
Health & Safety,Sick Leave,1,10,0,1,32,96,94.5,Rejected
Health & Safety,Sick Leave,1,10,0,2,47,168,75.1,Approved
Administration,Casual Leave,1,10,0,10,28,108,83.6,Rejected
Health & Safety,Sick Leave,1,10,1,10,28,108,92.9,Approved
Operations,Annual Leave,1,11,1,17,38,216,88.3,Rejected
Health & Safety,Sick Leave,1,11,2,9,37,120,84.6,Approved
Health & Safety,Sick Leave,3,11,2,5,28,48,93.8,Approved
Health & Safety,Sick Leave,1,11,4,17,38,216,94.3,Rejected
Health & Safety,Sick Leave,1,11,1,10,37,120,90.8,Approved
Operations,Annual Leave,1,11,2,5,33,156,95.8,Approved
Health & Safety,Sick Leave,1,11,4,1,32,96,90.4,Approved
Health & Safety,Sick Leave,1,11,4,11,28,108,90.3,Rejected
Health & Safety,Sick Leave,1,11,1,3,28,36,94.3,Rejected
Health & Safety,Sick Leave,1,11,2,6,40,144,81.9,Rejected
Health & Safety,Sick Leave,1,11,3,11,37,120,78.3,Rejected
Health & Safety,Sick Leave,1,11,3,11,28,108,82.2,Approved
Health & Safety,Sick Leave,1,11,0,17,38,216,94.7,Approved
Health & Safety,Sick Leave,1,11,0,11,37,120,93.8,Approved
Health & Safety,Sick Leave,1,11,1,12,37,120,84.0,Approved
Health & Safety,Sick Leave,1,11,1,12,28,108,88.6,Approved
Administration,Casual Leave,1,11,1,6,40,144,93.2,Rejected
Administration,Casual Leave,1,11,2,6,33,156,90.5,Rejected
Health & Safety,Sick Leave,1,11,3,3,47,168,90.1,Approved
Administration,Casual Leave,1,11,3,4,43,156,89.1,Rejected
Health & Safety,Sick Leave,1,11,4,13,28,108,93.2,Approved
Administration,Casual Leave,1,11,4,7,31,144,93.2,Approved
Health & Safety,Sick Leave,1,11,0,3,28,36,95.2,Rejected
Health & Safety,Sick Leave,4,12,1,18,38,216,90.3,Rejected
Health & Safety,Sick Leave,1,12,2,6,40,144,76.9,Approved
Health & Safety,Sick Leave,1,12,2,14,28,108,89.4,Approved
Health & Safety,Sick Leave,1,12,4,5,30,108,90.1,Rejected
Health & Safety,Sick Leave,1,12,4,15,28,108,86.5,Rejected
Health & Safety,Sick Leave,1,12,3,3,28,36,85.9,Approved
Operations,Annual Leave,1,12,4,6,40,204,83.6,Approved
Administration,Casual Leave,1,12,4,4,43,156,99.9,Approved
Operations,Annual Leave,1,12,0,0,31,12,87.6,Approved
Health & Safety,Sick Leave,2,12,1,5,30,108,95.8,Approved
Health & Safety,Sick Leave,1,12,1,15,28,108,92.7,Approved
Health & Safety,Sick Leave,1,12,3,16,28,108,92.6,Approved
Health & Safety,Sick Leave,1,12,0,17,28,108,90.9,Approved
Operations,Annual Leave,10,12,1,1,34,168,85.7,Approved
Health & Safety,Sick Leave,3,1,0,0,30,108,92.7,Rejected
Health & Safety,Sick Leave,2,1,3,0,30,108,98.0,Approved
Health & Safety,Sick Leave,1,1,3,0,40,204,85.9,Approved
Health & Safety,Sick Leave,1,1,4,1,40,204,88.3,Approved
Health & Safety,Sick Leave,1,1,0,1,30,108,87.9,Approved
Health & Safety,Sick Leave,1,1,2,2,40,204,91.9,Approved
Health & Safety,Sick Leave,1,1,3,0,49,348,87.6,Approved
Operations,Annual Leave,1,1,4,3,40,204,87.1,Rejected
Administration,Casual Leave,1,1,0,2,30,108,87.6,Approved
Operations,Annual Leave,1,1,1,0,34,168,91.5,Approved
Administration,Casual Leave,1,1,2,3,30,108,98.5,Approved
Administration,Casual Leave,1,1,2,0,38,216,90.4,Rejected
Health & Safety,Sick Leave,1,1,2,0,33,156,92.9,Approved
Administration,Casual Leave,1,1,3,0,38,216,97.9,Approved
Administration,Casual Leave,1,1,4,1,38,216,88.7,Approved
Health & Safety,Sick Leave,1,2,1,2,38,216,76.6,Approved
Health & Safety,Sick Leave,1,2,1,0,28,108,87.9,Rejected
Health & Safety,Sick Leave,1,2,2,0,47,168,85.7,Approved
Administration,Casual Leave,1,2,2,3,38,216,94.3,Approved
Health & Safety,Sick Leave,1,2,3,0,28,108,91.9,Approved
Administration,Casual Leave,1,2,3,4,38,216,89.9,Rejected
Administration,Casual Leave,1,2,3,4,30,108,83.5,Approved
Health & Safety,Sick Leave,1,2,4,0,41,180,73.7,Approved
Administration,Casual Leave,1,2,4,4,38,216,90.4,Approved
Administration,Casual Leave,1,2,0,0,31,12,90.9,Rejected
Administration,Casual Leave,1,2,0,5,38,216,86.6,Approved
Health & Safety,Sick Leave,1,2,1,1,28,108,82.8,Approved
Administration,Casual Leave,1,2,2,6,38,216,87.1,Rejected
Administration,Casual Leave,1,2,3,6,38,216,84.6,Approved
Health & Safety,Sick Leave,1,2,3,2,28,108,88.7,Approved
Health & Safety,Sick Leave,1,2,3,5,30,108,89.6,Approved
Health & Safety,Sick Leave,1,2,4,3,40,204,86.3,Approved
Administration,Casual Leave,1,2,4,7,38,216,91.5,Approved
Health & Safety,Sick Leave,1,2,2,0,31,12,81.0,Approved
Administration,Casual Leave,1,2,2,6,30,108,79.9,Rejected
Health & Safety,Sick Leave,1,2,3,8,38,216,88.7,Approved
Health & Safety,Sick Leave,1,2,0,1,34,168,94.8,Approved
Health & Safety,Sick Leave,1,2,0,0,32,96,77.8,Rejected
Health & Safety,Sick Leave,1,2,0,3,28,108,93.9,Approved
Administration,Casual Leave,1,2,1,9,38,216,77.4,Approved
Health & Safety,Sick Leave,1,2,1,1,47,168,89.7,Approved
Health & Safety,Sick Leave,1,2,1,4,28,108,82.6,Approved
Health & Safety,Sick Leave,1,2,4,0,32,96,91.4,Approved
Administration,Casual Leave,1,3,0,10,38,216,82.1,Rejected
Health & Safety,Sick Leave,1,3,0,2,47,168,82.5,Approved
Health & Safety,Sick Leave,1,3,1,0,58,192,94.1,Approved
Health & Safety,Sick Leave,1,3,1,3,47,168,96.3,Approved
Health & Safety,Sick Leave,10,3,1,1,58,192,99.8,Approved
Administration,Casual Leave,1,3,2,10,38,216,85.6,Rejected
Administration,Casual Leave,1,3,3,5,28,108,91.5,Approved
Administration,Casual Leave,1,3,3,10,38,216,93.3,Approved
Health & Safety,Sick Leave,1,3,3,6,28,108,87.6,Approved
Administration,Casual Leave,1,3,4,6,30,108,97.6,Rejected
Health & Safety,Sick Leave,1,3,0,1,32,96,100.0,Approved
Administration,Casual Leave,1,3,0,0,28,36,82.8,Approved
Health & Safety,Sick Leave,1,3,1,11,38,216,85.6,Rejected
Administration,Casual Leave,1,3,4,6,30,108,83.9,Approved
Health & Safety,Sick Leave,1,3,0,11,38,216,84.0,Approved
Health & Safety,Sick Leave,1,3,0,4,47,168,86.4,Approved
Administration,Casual Leave,1,3,0,12,38,216,80.2,Approved
Health & Safety,Sick Leave,1,3,0,7,28,108,87.8,Rejected
Administration,Casual Leave,1,3,1,13,38,216,89.7,Approved
Health & Safety,Sick Leave,1,3,2,1,33,156,80.1,Approved
Health & Safety,Sick Leave,1,3,2,2,58,192,83.2,Approved
Health & Safety,Sick Leave,1,3,3,5,47,168,81.8,Approved
Health & Safety,Sick Leave,1,3,4,7,30,108,81.7,Approved
Administration,Casual Leave,1,3,4,14,38,216,90.6,Rejected
Administration,Casual Leave,1,3,1,14,38,216,78.0,Approved
Health & Safety,Sick Leave,1,3,2,0,46,288,93.5,Approved
Health & Safety,Sick Leave,3,3,2,2,34,168,83.3,Rejected
Administration,Casual Leave,1,3,2,15,38,216,88.4,Rejected
Administration,Casual Leave,1,3,3,15,38,216,97.3,Approved
Health & Safety,Sick Leave,1,3,0,8,30,108,90.9,Approved
Administration,Casual Leave,10,3,0,2,33,156,93.9,Approved
Health & Safety,Sick Leave,1,3,2,0,31,144,81.3,Approved
Health & Safety,Sick Leave,1,4,0,7,28,108,77.0,Approved
Health & Safety,Sick Leave,1,4,0,0,37,120,84.8,Approved
Administration,Casual Leave,1,4,1,1,28,36,82.0,Approved
Administration,Casual Leave,1,4,2,6,47,168,91.8,Approved
Health & Safety,Sick Leave,1,4,3,0,33,156,88.1,Approved
Administration,Casual Leave,1,4,4,9,30,108,91.4,Approved
Health & Safety,Sick Leave,3,4,0,1,31,144,81.9,Approved
Operations,Annual Leave,1,4,1,4,40,204,93.0,Rejected
Health & Safety,Sick Leave,1,4,1,0,50,216,94.4,Approved
Health & Safety,Sick Leave,1,4,1,2,28,36,93.3,Approved
Health & Safety,Sick Leave,1,4,2,1,37,120,93.6,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,97.6,Approved
Administration,Casual Leave,1,4,0,8,28,108,83.4,Approved
Operations,Annual Leave,1,4,1,2,32,96,87.0,Approved
Health & Safety,Sick Leave,1,4,1,2,34,168,87.7,Approved
Administration,Casual Leave,1,4,3,9,28,108,80.6,Approved
Health & Safety,Sick Leave,1,4,3,1,50,216,94.3,Approved
Health & Safety,Sick Leave,1,5,0,1,37,168,85.5,Approved
Administration,Casual Leave,1,5,2,1,41,180,91.7,Approved
Health & Safety,Sick Leave,1,5,2,3,32,96,75.0,Approved
Health & Safety,Sick Leave,1,5,2,2,37,120,79.4,Approved
Administration,Casual Leave,1,5,2,0,43,156,97.9,Approved
Health & Safety,Sick Leave,1,5,3,10,30,108,80.5,Approved
Health & Safety,Sick Leave,1,5,3,0,40,144,90.0,Approved
Health & Safety,Sick Leave,1,5,3,2,41,180,81.7,Approved
Administration,Casual Leave,8,5,4,0,43,156,82.4,Approved
Health & Safety,Sick Leave,1,5,4,3,41,180,87.0,Approved
Administration,Casual Leave,1,5,4,11,30,108,99.2,Approved
Health & Safety,Sick Leave,1,5,0,2,50,216,92.3,Rejected
Health & Safety,Sick Leave,1,5,1,2,50,216,84.0,Approved
Health & Safety,Sick Leave,1,5,1,3,37,120,74.8,Approved
Administration,Casual Leave,1,5,1,3,50,216,85.2,Rejected
Administration,Casual Leave,1,5,2,12,30,108,83.4,Approved
