leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,status
Casual Leave,1,5,1,7,Approved
Sick Leave,2,2,1,13,Rejected
Annual Leave,7,8,1,9,Rejected
Casual Leave,2,10,6,7,Approved
Annual Leave,7,8,2,9,Rejected
Annual Leave,7,3,5,3,Approved
Sick Leave,5,12,5,6,Approved
Casual Leave,2,3,2,6,Approved
Casual Leave,1,1,0,8,Approved
Annual Leave,3,11,1,14,Rejected
Sick Leave,1,9,5,12,Approved
Annual Leave,7,1,5,6,Rejected
Annual Leave,10,1,0,12,Rejected
Sick Leave,3,6,6,6,Rejected
Annual Leave,5,2,6,10,Rejected
Sick Leave,1,6,2,5,Approved
Annual Leave,3,10,2,1,Approved
Casual Leave,5,2,4,10,Approved
Casual Leave,1,11,3,2,Approved
Annual Leave,10,2,2,7,Rejected
Sick Leave,1,7,1,1,Approved
Sick Leave,3,9,6,13,Approved
Sick Leave,3,11,1,7,Approved
Sick Leave,1,11,1,6,Approved
Casual Leave,1,3,5,6,Approved
Sick Leave,1,6,3,12,Approved
Casual Leave,2,2,6,9,Rejected
Casual Leave,1,9,4,15,Approved
Casual Leave,1,7,3,11,Rejected
Sick Leave,7,4,6,13,Approved
Casual Leave,1,7,5,7,Rejected
Casual Leave,1,11,1,8,Approved
Casual Leave,2,7,5,2,Approved
Annual Leave,10,7,4,9,Rejected
Casual Leave,2,12,1,12,Approved
Annual Leave,10,7,5,9,Approved
Sick Leave,1,8,4,6,Approved
Sick Leave,1,11,1,2,Approved
Annual Leave,5,2,0,1,Approved
Annual Leave,14,9,6,8,Rejected
Casual Leave,2,11,3,12,Approved
Annual Leave,21,2,6,8,Approved
Annual Leave,14,6,0,11,Rejected
Sick Leave,10,6,3,15,Rejected
Annual Leave,3,10,6,1,Approved
Annual Leave,5,9,1,7,Rejected
Casual Leave,2,5,1,8,Approved
Casual Leave,2,4,4,2,Approved
Sick Leave,1,5,0,9,Approved
Casual Leave,1,10,5,0,Approved
Annual Leave,3,10,4,7,Rejected
Casual Leave,1,3,4,9,Approved
Annual Leave,10,2,2,15,Approved
Annual Leave,14,12,0,5,Rejected
Casual Leave,3,11,3,11,Approved
Casual Leave,3,2,1,10,Approved
Casual Leave,4,12,3,9,Rejected
Sick Leave,5,7,3,5,Rejected
Annual Leave,5,7,1,12,Rejected
Annual Leave,7,7,2,14,Approved
Casual Leave,3,12,5,3,Approved
Casual Leave,2,2,5,5,Approved
Annual Leave,21,11,0,6,Approved
Sick Leave,3,1,1,6,Approved
Annual Leave,5,3,3,0,Rejected
Casual Leave,2,9,2,6,Approved
Annual Leave,5,9,1,11,Approved
Casual Leave,2,8,0,8,Approved
Casual Leave,2,10,5,5,Rejected
Sick Leave,1,9,0,13,Approved
Sick Leave,7,7,1,12,Approved
Casual Leave,2,12,4,9,Rejected
Annual Leave,7,9,4,12,Approved
Annual Leave,14,12,2,1,Rejected
Casual Leave,1,8,4,9,Rejected
Casual Leave,1,2,5,2,Approved
Sick Leave,2,7,5,4,Approved
Annual Leave,5,7,5,11,Rejected
Annual Leave,7,4,1,2,Approved
Sick Leave,4,6,5,7,Approved
Sick Leave,1,12,5,12,Rejected
Sick Leave,1,10,3,10,Approved
Casual Leave,2,8,1,2,Approved
Casual Leave,2,6,2,11,Rejected
Casual Leave,1,12,3,0,Approved
Annual Leave,10,6,0,5,Rejected
Annual Leave,10,12,1,10,Approved
Sick Leave,4,3,2,0,Rejected
Casual Leave,3,5,3,2,Approved
Annual Leave,5,4,5,13,Rejected
Sick Leave,10,7,0,8,Approved
Annual Leave,5,5,5,7,Approved
Casual Leave,1,6,5,13,Approved
Casual Leave,2,5,4,3,Approved
Annual Leave,10,3,2,11,Rejected
Casual Leave,2,2,0,4,Approved
Annual Leave,10,10,2,9,Approved
Annual Leave,14,12,2,11,Rejected
Sick Leave,3,3,4,8,Approved
Casual Leave,1,11,4,2,Approved
Sick Leave,3,3,4,6,Rejected
Sick Leave,3,5,5,8,Approved
Casual Leave,5,1,5,7,Approved
Annual Leave,7,9,2,4,Approved
Casual Leave,3,1,4,3,Rejected
Sick Leave,1,10,5,12,Approved
Casual Leave,1,3,6,5,Approved
Casual Leave,1,11,4,6,Approved
Annual Leave,3,2,3,12,Rejected
Sick Leave,4,11,4,0,Rejected
Casual Leave,1,10,3,5,Approved
Sick Leave,1,2,4,9,Approved
Sick Leave,1,6,5,9,Approved
Sick Leave,3,5,2,2,Rejected
Annual Leave,10,6,4,5,Rejected
Annual Leave,10,6,2,2,Rejected
Annual Leave,3,8,6,2,Approved
Casual Leave,2,6,3,13,Approved
Annual Leave,7,8,4,15,Approved
Sick Leave,1,4,2,0,Approved
Sick Leave,4,5,3,4,Approved
Sick Leave,2,12,5,4,Rejected
Annual Leave,7,3,0,4,Approved
Annual Leave,7,9,5,9,Rejected
Annual Leave,7,1,4,5,Rejected
Annual Leave,5,4,3,5,Approved
Sick Leave,4,12,4,2,Approved
Annual Leave,3,7,1,8,Rejected
Sick Leave,4,2,1,0,Approved
Annual Leave,3,1,4,15,Rejected
Casual Leave,5,7,5,11,Approved
Casual Leave,1,8,4,1,Approved
Annual Leave,21,3,6,5,Rejected
Casual Leave,1,10,6,13,Approved
Annual Leave,3,8,0,0,Approved
Casual Leave,2,3,0,8,Approved
Annual Leave,3,3,0,15,Approved
Casual Leave,2,6,0,13,Rejected
Annual Leave,5,1,1,3,Approved
Casual Leave,1,8,5,14,Approved
Casual Leave,1,6,4,15,Approved
Annual Leave,21,4,2,1,Approved
Sick Leave,1,11,3,8,Approved
Annual Leave,5,4,5,8,Rejected
Casual Leave,5,8,3,5,Rejected
Sick Leave,2,12,5,4,Approved
Casual Leave,1,6,0,13,Rejected
Annual Leave,10,4,3,5,Approved
Casual Leave,2,9,6,3,Approved
Casual Leave,2,2,1,14,Approved
Casual Leave,5,12,4,3,Approved
Annual Leave,10,10,4,3,Rejected
Annual Leave,14,7,0,6,Approved
Sick Leave,5,9,2,8,Rejected
Sick Leave,4,3,6,11,Rejected
Annual Leave,14,7,1,12,Rejected
Annual Leave,3,3,3,7,Approved
Casual Leave,1,4,0,2,Approved
Casual Leave,5,1,5,4,Rejected
Annual Leave,10,4,5,12,Approved
Annual Leave,5,2,0,4,Approved
Sick Leave,7,7,0,15,Rejected
Casual Leave,1,1,1,1,Approved
Sick Leave,2,10,0,0,Approved
Sick Leave,1,2,5,4,Rejected
Casual Leave,1,4,2,5,Approved
Annual Leave,7,8,3,14,Rejected
Annual Leave,7,6,2,2,Rejected
Sick Leave,2,2,1,10,Approved
Sick Leave,3,6,5,0,Approved
Annual Leave,3,4,4,6,Rejected
Casual Leave,3,4,1,1,Approved
Casual Leave,2,10,3,7,Approved
Sick Leave,2,9,4,1,Approved
Sick Leave,2,9,6,10,Approved
Sick Leave,4,1,1,1,Rejected
Annual Leave,14,6,6,0,Approved
Casual Leave,1,12,4,12,Approved
Casual Leave,2,11,3,3,Approved
Casual Leave,1,5,5,2,Approved
Sick Leave,2,4,0,6,Approved
Casual Leave,3,12,3,4,Approved
Sick Leave,1,2,2,13,Approved
Sick Leave,1,1,3,5,Approved
Casual Leave,2,4,1,12,Approved
Sick Leave,1,5,1,12,Approved
Sick Leave,3,2,0,1,Approved
Sick Leave,2,4,5,8,Approved
Sick Leave,3,9,5,15,Rejected
Casual Leave,2,8,1,0,Approved
Annual Leave,7,1,3,7,Approved
Sick Leave,4,2,0,9,Approved
Casual Leave,1,1,6,11,Approved
Sick Leave,3,3,3,7,Approved
Sick Leave,7,7,5,3,Approved
Annual Leave,5,7,2,9,Approved
Casual Leave,4,2,0,15,Rejected
Casual Leave,1,5,0,9,Approved
Casual Leave,1,6,5,0,Rejected
Casual Leave,1,10,0,9,Approved
Casual Leave,2,10,2,5,Approved
Casual Leave,1,9,1,9,Rejected
Annual Leave,7,8,5,10,Approved
Sick Leave,1,9,0,13,Rejected
Sick Leave,3,7,1,12,Approved
Annual Leave,14,2,2,3,Rejected
Sick Leave,1,9,1,15,Approved
Annual Leave,3,12,1,3,Rejected
Sick Leave,1,9,3,12,Approved
Annual Leave,10,2,3,4,Rejected
Casual Leave,2,8,2,9,Approved
Casual Leave,1,7,1,0,Approved
Sick Leave,1,8,5,14,Approved
Sick Leave,2,3,5,4,Approved
Annual Leave,10,8,3,15,Rejected
Casual Leave,1,10,4,12,Rejected
Casual Leave,5,6,6,7,Approved
Sick Leave,1,10,2,3,Approved
Casual Leave,1,7,1,6,Approved
Sick Leave,3,2,4,0,Approved
Sick Leave,1,6,1,15,Rejected
Casual Leave,4,7,5,12,Approved
Sick Leave,1,10,4,10,Approved
Casual Leave,4,2,4,7,Approved
Annual Leave,7,1,0,10,Rejected
Sick Leave,4,4,3,2,Approved
Sick Leave,1,9,3,4,Approved
Casual Leave,1,4,0,1,Approved
Sick Leave,3,7,6,12,Approved
Sick Leave,1,6,3,1,Approved
Sick Leave,1,3,3,5,Approved
Sick Leave,1,11,0,2,Approved
Annual Leave,7,5,6,7,Rejected
Annual Leave,5,8,2,2,Rejected
Casual Leave,1,12,6,4,Approved
Casual Leave,3,10,3,9,Approved
Casual Leave,1,1,1,6,Approved
Annual Leave,14,6,6,8,Rejected
Casual Leave,4,12,5,9,Approved
Sick Leave,1,1,2,8,Approved
Annual Leave,3,5,6,0,Approved
Sick Leave,2,8,0,11,Approved
Casual Leave,1,3,2,8,Approved
Annual Leave,7,1,1,14,Rejected
Annual Leave,5,12,0,7,Rejected
Casual Leave,2,11,3,2,Approved
Casual Leave,1,5,4,0,Rejected
Annual Leave,14,12,6,11,Rejected
Annual Leave,7,9,4,13,Rejected
Casual Leave,4,5,1,9,Approved
Sick Leave,2,8,5,13,Approved
Sick Leave,5,10,6,4,Approved
Casual Leave,2,2,0,13,Approved
Sick Leave,3,7,2,15,Approved
Annual Leave,7,9,3,13,Rejected
Annual Leave,3,10,0,1,Rejected
Annual Leave,10,3,5,5,Rejected
Annual Leave,7,8,3,10,Rejected
Annual Leave,5,9,4,13,Rejected
Casual Leave,1,10,4,10,Approved
Casual Leave,4,10,6,3,Approved
Casual Leave,1,1,2,6,Approved
Annual Leave,7,2,3,13,Approved
Annual Leave,7,2,2,5,Rejected
Sick Leave,1,12,6,10,Rejected
Annual Leave,10,7,6,7,Approved
Sick Leave,1,9,6,6,Approved
Casual Leave,2,11,4,7,Approved
Annual Leave,7,7,4,11,Approved
Casual Leave,5,2,1,14,Approved
Annual Leave,5,4,0,9,Rejected
Casual Leave,2,7,3,14,Approved
Casual Leave,2,4,4,5,Approved
Sick Leave,5,7,0,10,Approved
Sick Leave,5,3,6,12,Rejected
Sick Leave,4,1,6,0,Approved
Sick Leave,1,11,6,7,Approved
Sick Leave,1,9,5,13,Approved
Casual Leave,1,6,3,0,Approved
Sick Leave,2,7,4,8,Approved
Annual Leave,5,12,0,14,Approved
Annual Leave,14,5,2,4,Approved
Casual Leave,2,10,6,15,Rejected
Sick Leave,5,1,2,13,Approved
Sick Leave,2,6,3,15,Rejected
Sick Leave,1,3,4,3,Rejected
Casual Leave,1,3,5,13,Approved
Annual Leave,5,11,1,4,Approved
Sick Leave,1,6,5,4,Approved
Sick Leave,1,5,5,6,Approved
Sick Leave,2,6,5,7,Approved
Casual Leave,1,5,4,6,Approved
Annual Leave,5,10,5,12,Rejected
Sick Leave,1,2,6,4,Approved
Annual Leave,7,8,2,9,Rejected
Annual Leave,14,6,4,2,Rejected
Casual Leave,2,8,5,8,Approved
Casual Leave,2,12,3,6,Approved
Sick Leave,1,8,2,6,Approved
Annual Leave,7,5,5,15,Rejected
Annual Leave,5,11,3,15,Rejected
Annual Leave,14,3,5,5,Rejected
Annual Leave,10,5,6,6,Approved
Casual Leave,2,9,0,12,Approved
Casual Leave,2,1,2,6,Approved
Casual Leave,2,8,4,2,Approved
Annual Leave,10,11,0,5,Rejected
Casual Leave,1,1,3,9,Approved
Casual Leave,1,12,3,8,Approved
Casual Leave,5,3,4,6,Rejected
Annual Leave,5,5,0,6,Approved
Casual Leave,2,6,4,12,Approved
Casual Leave,1,6,5,3,Approved
Annual Leave,10,10,5,13,Approved
Casual Leave,3,5,0,7,Approved
Sick Leave,5,3,4,5,Approved
Casual Leave,3,1,0,9,Approved
Sick Leave,1,5,2,2,Approved
Casual Leave,2,3,2,3,Approved
Sick Leave,2,6,6,4,Approved
Casual Leave,1,8,5,0,Approved
Annual Leave,3,7,0,7,Approved
Casual Leave,1,3,2,9,Approved
Casual Leave,2,2,2,3,Approved
Annual Leave,10,8,0,15,Rejected
Casual Leave,3,9,2,15,Rejected
Sick Leave,7,3,0,10,Approved
Sick Leave,2,2,6,15,Rejected
Annual Leave,7,5,1,9,Approved
Annual Leave,5,12,3,7,Approved
Annual Leave,3,10,1,14,Approved
Annual Leave,7,12,2,13,Rejected
Casual Leave,2,5,4,7,Approved
Annual Leave,14,1,4,12,Rejected
Casual Leave,1,8,4,10,Approved
Annual Leave,7,7,5,10,Rejected
Casual Leave,2,12,3,6,Approved
Casual Leave,1,9,2,2,Approved
Annual Leave,7,10,1,11,Rejected
Casual Leave,1,10,6,3,Rejected
Annual Leave,7,7,2,6,Approved
Annual Leave,7,7,1,12,Rejected
Annual Leave,10,6,6,14,Approved
Sick Leave,3,10,1,4,Approved
Sick Leave,3,10,5,15,Approved
Casual Leave,1,6,5,7,Rejected
Annual Leave,10,8,3,7,Approved
Sick Leave,1,8,5,2,Approved
Annual Leave,7,9,0,0,Approved
Annual Leave,3,8,3,3,Approved
Annual Leave,10,6,1,7,Approved
Casual Leave,1,5,5,14,Approved
Sick Leave,3,4,2,11,Approved
Annual Leave,10,12,1,4,Approved
Sick Leave,2,5,2,12,Approved
Casual Leave,2,7,6,15,Approved
Casual Leave,1,4,1,4,Approved
Annual Leave,10,1,6,7,Approved
Annual Leave,21,9,6,2,Rejected
Sick Leave,1,4,5,14,Approved
Sick Leave,1,9,2,1,Approved
Annual Leave,3,2,1,15,Approved
Sick Leave,3,10,3,3,Approved
Casual Leave,1,8,5,5,Approved
Casual Leave,2,11,4,9,Rejected
Casual Leave,3,3,1,2,Approved
Sick Leave,2,4,1,9,Approved
Sick Leave,4,6,1,6,Approved
Annual Leave,5,7,6,8,Rejected
Annual Leave,7,6,3,9,Approved
Casual Leave,1,5,0,6,Approved
Annual Leave,10,9,5,6,Approved
Annual Leave,21,8,5,15,Rejected
Sick Leave,1,2,0,10,Approved
Sick Leave,3,3,4,9,Approved
Sick Leave,5,3,6,2,Approved
Casual Leave,1,4,3,11,Approved
Casual Leave,3,8,6,1,Rejected
Casual Leave,2,9,3,9,Approved
Annual Leave,10,2,4,14,Rejected
Annual Leave,10,6,0,5,Rejected
Sick Leave,1,10,6,12,Approved
Annual Leave,14,11,1,11,Rejected
Sick Leave,4,9,4,1,Rejected
Sick Leave,7,7,2,7,Approved
Annual Leave,3,12,1,12,Approved
Annual Leave,10,9,0,5,Rejected
Sick Leave,2,2,6,11,Rejected
Casual Leave,2,6,2,2,Approved
Casual Leave,1,12,5,10,Approved
Casual Leave,4,1,0,6,Approved
Sick Leave,2,12,6,5,Approved
Casual Leave,1,5,4,10,Approved
Annual Leave,5,7,6,5,Rejected
Casual Leave,4,9,3,4,Approved
Annual Leave,7,6,4,3,Rejected
Sick Leave,3,11,0,3,Approved
Casual Leave,2,6,5,14,Approved
Sick Leave,3,10,5,1,Approved
Sick Leave,1,3,3,10,Approved
Casual Leave,3,9,3,3,Approved
Annual Leave,10,8,5,3,Approved
Sick Leave,1,4,3,3,Approved
Annual Leave,3,3,3,6,Rejected
Annual Leave,7,1,6,11,Rejected
Annual Leave,7,10,1,4,Approved
Annual Leave,5,7,3,14,Approved
Annual Leave,3,10,4,2,Approved
Casual Leave,3,10,1,7,Rejected
Casual Leave,3,3,5,8,Approved
Casual Leave,2,5,6,3,Approved
Sick Leave,3,11,3,13,Approved
Annual Leave,5,10,4,11,Rejected
Annual Leave,10,12,2,8,Rejected
Casual Leave,1,4,4,15,Approved
Annual Leave,10,11,3,1,Rejected
Annual Leave,14,12,4,13,Approved
Casual Leave,2,11,5,13,Rejected
Annual Leave,7,8,6,8,Approved
Annual Leave,5,11,2,5,Approved
Casual Leave,1,6,4,7,Rejected
Casual Leave,1,4,2,15,Rejected
Annual Leave,10,5,4,9,Rejected
Annual Leave,3,11,3,8,Approved
Sick Leave,4,6,1,14,Approved
Sick Leave,1,8,5,6,Approved
Annual Leave,14,4,3,5,Rejected
Casual Leave,2,6,1,10,Approved
Annual Leave,3,8,4,10,Approved
Casual Leave,2,10,3,15,Rejected
Annual Leave,3,3,0,11,Rejected
Sick Leave,2,7,1,14,Approved
Sick Leave,3,10,0,11,Approved
Sick Leave,4,10,6,5,Rejected
Annual Leave,14,12,5,12,Rejected
Annual Leave,3,7,2,15,Approved
Casual Leave,5,1,4,1,Approved
Casual Leave,4,5,0,11,Approved
Sick Leave,3,11,1,11,Approved
Annual Leave,14,2,6,9,Rejected
Sick Leave,5,10,2,14,Approved
Sick Leave,7,6,1,7,Rejected
Annual Leave,14,2,5,10,Rejected
Sick Leave,1,8,6,6,Approved
Casual Leave,1,9,3,12,Rejected
Casual Leave,2,10,5,5,Approved
Sick Leave,3,11,6,13,Approved
Sick Leave,3,12,2,2,Approved
Sick Leave,3,5,0,7,Approved
Sick Leave,3,3,4,7,Rejected
Sick Leave,2,7,6,13,Approved
Annual Leave,3,8,1,7,Approved
Annual Leave,5,5,5,12,Rejected
Annual Leave,7,8,1,4,Approved
Annual Leave,10,2,1,13,Approved
Annual Leave,14,6,0,0,Rejected
Casual Leave,2,7,1,9,Approved
Annual Leave,3,9,2,5,Approved
Annual Leave,7,12,1,10,Approved
Annual Leave,10,2,6,7,Rejected
Annual Leave,10,7,3,7,Approved
Casual Leave,2,4,1,9,Rejected
Sick Leave,3,1,3,13,Approved
Casual Leave,2,7,3,14,Approved
Sick Leave,7,12,1,6,Approved
Casual Leave,2,4,3,4,Approved
Annual Leave,14,3,5,12,Rejected
Annual Leave,10,11,4,4,Rejected
Casual Leave,2,6,4,1,Approved
Sick Leave,2,12,1,6,Approved
Casual Leave,4,2,6,5,Approved
Casual Leave,5,12,2,7,Approved
Casual Leave,2,8,1,0,Approved
Annual Leave,14,6,2,2,Approved
Casual Leave,1,5,5,2,Approved
Annual Leave,7,5,4,0,Approved
Sick Leave,3,5,5,14,Approved
Casual Leave,1,4,3,12,Approved
Annual Leave,10,6,1,11,Rejected
Casual Leave,3,9,0,0,Approved
Sick Leave,1,2,6,2,Approved
Annual Leave,3,2,4,3,Rejected
Annual Leave,10,4,1,1,Rejected
Sick Leave,2,8,2,1,Approved
Annual Leave,5,2,5,2,Approved
Annual Leave,7,11,2,6,Rejected
Sick Leave,2,1,0,15,Approved
Sick Leave,3,6,4,11,Rejected
Annual Leave,5,8,2,15,Rejected
Casual Leave,1,7,3,14,Rejected
Annual Leave,14,7,3,0,Approved
Annual Leave,5,3,1,5,Rejected
Sick Leave,1,5,6,8,Approved
Sick Leave,3,2,2,15,Approved
Annual Leave,10,3,2,9,Approved
Annual Leave,7,8,0,0,Approved
Casual Leave,2,10,6,10,Approved
Annual Leave,7,8,0,10,Rejected
Annual Leave,7,12,2,2,Rejected
Sick Leave,2,11,0,10,Approved
Sick Leave,1,11,1,3,Approved
Sick Leave,1,5,2,6,Approved
Annual Leave,7,7,4,5,Approved
Casual Leave,1,5,1,4,Approved
Casual Leave,2,9,0,13,Approved
Annual Leave,7,1,5,4,Approved
Casual Leave,1,6,0,13,Rejected
Sick Leave,1,4,3,5,Approved
Annual Leave,3,12,1,15,Rejected
Annual Leave,7,11,3,0,Approved
Annual Leave,7,1,1,7,Rejected
Sick Leave,1,9,0,9,Approved
Casual Leave,2,2,5,9,Rejected
Casual Leave,1,2,5,6,Rejected
Sick Leave,3,11,5,7,Approved
Casual Leave,3,4,3,12,Approved
Annual Leave,14,4,0,3,Rejected
Annual Leave,3,10,1,3,Approved
Sick Leave,5,5,6,1,Approved
Sick Leave,2,2,0,7,Approved
Annual Leave,3,12,1,6,Approved
Annual Leave,21,1,5,2,Rejected
Casual Leave,3,4,1,14,Approved
Annual Leave,3,1,2,11,Rejected
Sick Leave,2,6,5,11,Approved
Casual Leave,4,7,0,8,Approved
Annual Leave,7,11,1,10,Approved
Sick Leave,2,9,4,1,Approved
Sick Leave,2,6,5,11,Approved
Sick Leave,1,4,5,14,Approved
Sick Leave,4,12,2,7,Approved
Casual Leave,3,2,1,5,Approved
Annual Leave,7,10,2,10,Approved
Casual Leave,1,6,2,0,Rejected
Casual Leave,2,1,3,2,Approved
Annual Leave,5,8,0,10,Rejected
Annual Leave,3,1,4,14,Rejected
Sick Leave,1,12,4,15,Rejected
Annual Leave,5,3,6,2,Approved
Sick Leave,1,6,6,15,Rejected
Annual Leave,7,1,3,15,Approved
Casual Leave,2,1,2,13,Approved
Sick Leave,1,2,0,5,Approved
Annual Leave,3,3,4,13,Rejected
Sick Leave,1,9,6,0,Approved
Sick Leave,2,4,5,15,Approved
Sick Leave,3,8,4,2,Approved
Casual Leave,3,1,6,10,Rejected
Annual Leave,5,9,3,5,Approved
Annual Leave,10,2,5,4,Rejected
Annual Leave,7,6,2,15,Rejected
Casual Leave,1,6,4,2,Approved
Sick Leave,4,6,2,6,Approved
Sick Leave,3,12,2,6,Approved
Annual Leave,5,12,2,7,Rejected
Annual Leave,7,5,4,14,Rejected
Sick Leave,5,4,6,8,Rejected
Casual Leave,2,1,3,15,Approved
Sick Leave,2,2,2,3,Approved
Sick Leave,1,6,4,8,Approved
Sick Leave,4,9,4,10,Rejected
Annual Leave,14,12,4,8,Rejected
Sick Leave,1,4,2,3,Approved
Sick Leave,2,7,5,14,Approved
Annual Leave,5,8,3,10,Approved
Annual Leave,10,11,3,5,Approved
Annual Leave,10,8,0,7,Rejected
Sick Leave,5,8,3,14,Approved
Sick Leave,4,4,6,6,Approved
Annual Leave,3,9,0,8,Approved
Casual Leave,1,5,1,2,Approved
Sick Leave,3,4,0,6,Approved
Casual Leave,2,12,1,4,Approved
Annual Leave,5,1,3,4,Rejected
Casual Leave,3,3,5,3,Approved
Casual Leave,2,9,6,15,Rejected
Annual Leave,10,12,6,12,Rejected
Annual Leave,3,6,6,9,Rejected
Sick Leave,2,4,3,4,Approved
Sick Leave,2,8,2,15,Approved
Sick Leave,2,11,0,9,Rejected
Annual Leave,3,8,0,15,Approved
Annual Leave,7,5,0,0,Approved
Casual Leave,3,5,2,1,Approved
Casual Leave,3,6,5,14,Approved
Sick Leave,1,1,0,9,Approved
Casual Leave,1,4,0,2,Approved
Sick Leave,4,2,5,14,Approved
Annual Leave,7,6,5,10,Rejected
Casual Leave,4,8,2,10,Rejected
Sick Leave,5,9,1,7,Rejected
Casual Leave,1,5,0,7,Approved
Sick Leave,2,7,3,0,Approved
Sick Leave,2,5,1,5,Approved
Sick Leave,5,9,3,15,Rejected
Sick Leave,3,3,2,11,Rejected
Sick Leave,10,1,4,2,Rejected
Annual Leave,14,5,4,2,Approved
Annual Leave,3,4,5,9,Approved
Casual Leave,2,11,5,12,Approved
Annual Leave,3,3,0,2,Approved
Annual Leave,10,6,4,7,Approved
Annual Leave,7,1,2,5,Approved
Casual Leave,2,12,6,10,Approved
Sick Leave,7,1,6,5,Approved
Annual Leave,10,8,2,6,Rejected
Casual Leave,3,1,0,15,Approved
Casual Leave,2,9,4,6,Approved
Casual Leave,2,1,3,2,Rejected
Casual Leave,3,11,6,1,Approved
Sick Leave,1,8,1,12,Approved
Annual Leave,21,11,0,15,Rejected
Sick Leave,1,9,5,6,Approved
Sick Leave,2,11,2,8,Approved
Annual Leave,3,9,5,2,Approved
Casual Leave,2,6,0,14,Rejected
Sick Leave,5,9,2,0,Approved
Annual Leave,7,12,4,6,Rejected
Casual Leave,2,4,1,6,Approved
Casual Leave,1,7,2,11,Approved
Casual Leave,5,12,6,0,Approved
Annual Leave,3,9,5,10,Rejected
Casual Leave,1,1,6,3,Rejected
Casual Leave,1,2,4,11,Approved
Sick Leave,2,3,4,3,Approved
Annual Leave,5,2,1,1,Approved
Annual Leave,3,5,4,9,Rejected
Sick Leave,1,2,0,0,Approved
Annual Leave,3,9,6,7,Rejected
Annual Leave,10,12,1,5,Rejected
Annual Leave,3,4,3,7,Approved
Casual Leave,1,10,2,8,Approved
Casual Leave,2,10,1,8,Approved
Sick Leave,3,4,1,1,Approved
Sick Leave,2,12,0,0,Approved
Annual Leave,7,9,5,8,Rejected
Annual Leave,14,4,3,15,Approved
Annual Leave,3,5,1,13,Approved
Annual Leave,10,8,2,9,Rejected
Sick Leave,4,8,1,0,Approved
Casual Leave,4,12,0,8,Approved
Casual Leave,3,5,6,7,Approved
Sick Leave,3,1,2,13,Approved
Casual Leave,2,10,1,12,Approved
Sick Leave,2,6,0,10,Approved
Sick Leave,1,2,4,4,Approved
Sick Leave,1,4,5,6,Approved
Sick Leave,3,2,2,7,Approved
Sick Leave,5,11,6,0,Approved
Sick Leave,2,10,2,0,Approved
Casual Leave,1,4,1,5,Approved
Annual Leave,3,8,1,4,Approved
Sick Leave,1,3,3,12,Approved
Sick Leave,1,2,1,13,Approved
Annual Leave,7,10,1,14,Rejected
Sick Leave,4,7,2,12,Approved
Annual Leave,7,12,4,3,Rejected
Sick Leave,2,3,1,1,Approved
Casual Leave,3,5,2,4,Approved
Annual Leave,10,8,0,13,Rejected
Sick Leave,4,1,6,0,Approved
Annual Leave,7,2,0,6,Approved
Casual Leave,3,6,3,3,Approved
Annual Leave,5,11,4,15,Rejected
Casual Leave,2,7,3,1,Approved
Casual Leave,1,11,2,2,Approved
Sick Leave,10,5,4,7,Approved
Annual Leave,3,1,5,15,Rejected
Annual Leave,3,9,1,4,Approved
Annual Leave,10,12,0,8,Rejected
Casual Leave,2,12,6,6,Approved
Casual Leave,2,12,1,9,Approved
Sick Leave,1,5,6,8,Approved
Sick Leave,3,3,3,7,Approved
Casual Leave,3,7,2,13,Approved
Annual Leave,14,12,4,5,Rejected
Casual Leave,5,11,5,1,Approved
Casual Leave,1,10,2,3,Approved
Annual Leave,10,2,4,1,Rejected
Annual Leave,14,6,1,1,Rejected
Annual Leave,3,7,6,0,Rejected
Sick Leave,1,10,4,0,Approved
Annual Leave,7,7,0,6,Approved
Annual Leave,7,10,2,3,Approved
Sick Leave,3,12,1,6,Approved
Sick Leave,1,5,0,9,Approved
Casual Leave,5,7,3,13,Approved
Sick Leave,2,4,6,1,Approved
Casual Leave,1,2,2,6,Approved
Sick Leave,2,7,4,3,Approved
Casual Leave,1,12,0,3,Approved
Casual Leave,2,11,4,4,Approved
Annual Leave,7,12,0,1,Approved
Annual Leave,7,8,2,5,Approved
Casual Leave,1,9,5,14,Approved
Casual Leave,1,10,0,9,Approved
Sick Leave,4,5,6,4,Approved
Sick Leave,2,7,5,3,Approved
Annual Leave,5,4,4,7,Rejected
Casual Leave,4,1,2,13,Approved
Casual Leave,2,10,6,11,Rejected
Annual Leave,3,2,6,6,Approved
Casual Leave,3,2,2,6,Approved
Sick Leave,1,8,6,7,Approved
Casual Leave,1,9,1,2,Rejected
Annual Leave,5,11,2,2,Rejected
Annual Leave,10,4,6,14,Approved
Casual Leave,1,8,3,9,Rejected
Casual Leave,3,1,4,2,Approved
Annual Leave,3,2,6,8,Approved
Sick Leave,2,2,1,10,Approved
Sick Leave,3,4,6,5,Approved
Annual Leave,7,6,1,14,Approved
Annual Leave,7,5,2,8,Approved
Annual Leave,7,1,6,3,Approved
Casual Leave,4,9,0,4,Approved
Annual Leave,3,2,3,5,Rejected
Annual Leave,5,11,4,14,Rejected
Annual Leave,5,6,3,0,Approved
Casual Leave,2,11,0,14,Rejected
Casual Leave,1,1,3,4,Approved
Annual Leave,10,11,2,0,Approved
Annual Leave,3,11,6,5,Approved
